TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1618063464;10/04/2021 14:04:24;14.6111;17;71;1016.42;0;132;-1;
1618063529;10/04/2021 14:05:29;14.6111;16.8;71;1016.46;0;132;-1;
1618063594;10/04/2021 14:06:34;14.6111;16.8;71;1016.49;0;132;-1;
1618063659;10/04/2021 14:07:39;14.6111;16.7;72;1016.39;0;132;-1;
1618063719;10/04/2021 14:08:39;14.6111;16.6;71;1016.42;10.6093;175;-1;
1618063784;10/04/2021 14:09:44;14.5556;16.6;70;1016.39;4.24374;169;-1;
1618063850;10/04/2021 14:10:50;14.5556;16.5;69;1016.42;2.12187;155;-1;
1618063915;10/04/2021 14:11:55;14.5556;16.5;69;1016.46;5.30467;163;-1;
1618063979;10/04/2021 14:12:59;14.5;16.4;69;1016.42;2.12187;155;-1;
1618064040;10/04/2021 14:14:00;14.5;16.3;69;1016.42;5.30467;163;-1;
1618064105;10/04/2021 14:15:05;14.4444;16.2;69;1016.36;2.12187;146;-1;
1618064170;10/04/2021 14:16:10;14.4444;16.1;68;1016.36;2.12187;184;-1;
1618064235;10/04/2021 14:17:15;14.4444;16.1;68;1016.39;1.06093;164;-1;
1618064295;10/04/2021 14:18:15;14.4444;16.1;68;1016.32;7.42654;175;-1;
1618064360;10/04/2021 14:19:20;14.3889;16;68;1016.32;4.24374;159;-1;
1618064426;10/04/2021 14:20:26;14.3889;16;68;1016.29;2.12187;161;-1;
1618064490;10/04/2021 14:21:30;14.3889;16;69;1016.29;2.12187;171;-1;
1618064551;10/04/2021 14:22:31;14.3333;16;69;1016.22;4.24374;171;-1;
1618064616;10/04/2021 14:23:36;14.3333;15.9;69;1016.26;1.06093;166;-1;
1618064681;10/04/2021 14:24:41;14.3333;15.9;70;1016.19;4.24374;165;-1;
1618064746;10/04/2021 14:25:46;14.3333;15.9;69;1016.19;4.24374;184;-1;
1618064806;10/04/2021 14:26:46;14.3333;16;69;1016.22;1.06093;173;-1;
1618064871;10/04/2021 14:27:51;14.3333;16;69;1016.15;1.06093;173;-1;
1618064936;10/04/2021 14:28:56;14.3333;16;69;1016.22;6.3656;161;-1;
1618065001;10/04/2021 14:30:01;14.3333;15.9;69;1016.22;6.3656;178;-1;
1618065061;10/04/2021 14:31:01;14.3889;16;69;1016.15;4.24374;175;-1;
1618065127;10/04/2021 14:32:07;14.3333;16;69;1016.12;0;172;-1;
1618065192;10/04/2021 14:33:12;14.3333;16;69;1016.12;4.24374;165;-1;
1618065257;10/04/2021 14:34:17;14.3889;16;69;1016.05;2.12187;157;-1;
1618065322;10/04/2021 14:35:22;14.3889;16;70;1016.05;1.06093;157;-1;
1618065382;10/04/2021 14:36:22;14.3889;16.1;69;1016.05;3.1828;154;-1;
1618065447;10/04/2021 14:37:27;14.4444;16.1;69;1016.02;1.06093;158;-1;
1618065512;10/04/2021 14:38:32;14.4444;16.1;69;1015.98;5.30467;167;-1;
1618065577;10/04/2021 14:39:37;14.4444;16.2;68;1015.95;0;163;-1;
1618065647;10/04/2021 14:40:47;14.4444;16.2;69;1015.95;1.06093;163;-1;
1618065713;10/04/2021 14:41:53;14.5;16.2;68;1015.98;2.12187;163;-1;
1618065778;10/04/2021 14:42:58;14.5;16.3;68;1015.98;3.1828;173;-1;
1618065843;10/04/2021 14:44:03;14.5;16.4;67;1015.95;3.1828;156;-1;
1618065907;10/04/2021 14:45:07;14.5;16.5;67;1016.02;1.06093;175;-1;
1618065968;10/04/2021 14:46:08;14.5;16.6;68;1016.05;5.30467;160;-1;
1618066033;10/04/2021 14:47:13;14.5;16.6;68;1016.02;2.12187;175;-1;
1618066098;10/04/2021 14:48:18;14.5;16.7;67;1016.12;4.24374;166;-1;
1618066163;10/04/2021 14:49:23;14.5;16.8;67;1016.05;3.1828;136;-1;
1618066223;10/04/2021 14:50:23;14.5556;16.9;68;1016.12;2.12187;164;-1;
1618066288;10/04/2021 14:51:28;14.5556;17;67;1016.05;1.06093;166;-1;
1618066354;10/04/2021 14:52:34;14.5556;17.1;68;1016.02;5.30467;165;-1;
