TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1579374241;18/01/2020 19:04:01;33.8889;38.8889;41;945.073;10.6093;132;0;
1579374302;18/01/2020 19:05:02;33.8889;38.8889;41;945.107;3.1828;76;0;
1579374362;18/01/2020 19:06:02;33.9444;38.8889;41;945.04;2.12187;325;0;
1579374422;18/01/2020 19:07:02;34;38.8889;41;945.006;3.1828;328;0;
1579374482;18/01/2020 19:08:02;34.0556;38.8889;41;945.04;3.1828;17;0;
1579374542;18/01/2020 19:09:02;34.0556;38.8889;40;945.073;4.24374;336;0;
1579374602;18/01/2020 19:10:02;34.0556;38.8889;40;945.04;5.30467;348;0;
1579374662;18/01/2020 19:11:02;34;38.8889;40;945.107;1.06093;17;0;
1579374722;18/01/2020 19:12:02;33.9444;38.8889;41;945.175;4.24374;360;0;
1579374782;18/01/2020 19:13:02;33.9444;38.8889;41;945.107;2.12187;360;0;
1579374842;18/01/2020 19:14:02;33.9444;38.3333;41;945.107;4.24374;5;0;
1579374902;18/01/2020 19:15:02;33.8889;38.3333;40;945.175;1.06093;61;0;
1579374963;18/01/2020 19:16:03;33.8333;38.3333;40;945.141;2.12187;351;0;
1579375023;18/01/2020 19:17:03;33.8333;38.3333;40;945.141;3.1828;90;0;
1579375083;18/01/2020 19:18:03;33.7222;38.3333;41;945.141;8.48747;78;0;
1579375143;18/01/2020 19:19:03;33.6111;38.3333;41;945.175;4.24374;107;0;
1579375203;18/01/2020 19:20:03;33.5556;38.3333;41;945.141;5.30467;67;0;
1579375263;18/01/2020 19:21:03;33.4444;38.3333;41;945.073;5.30467;38;0;
1579375323;18/01/2020 19:22:03;33.3333;38.3333;41;945.006;3.1828;360;0;
1579375383;18/01/2020 19:23:03;33.3333;38.3333;41;945.073;3.1828;19;0;
1579375443;18/01/2020 19:24:03;33.3333;38.3333;41;945.04;2.12187;113;0;
1579375503;18/01/2020 19:25:03;33.3333;38.3333;41;944.972;2.12187;57;0;
1579375563;18/01/2020 19:26:03;33.3889;38.3333;41;944.938;5.30467;76;0;
1579375624;18/01/2020 19:27:04;33.3889;38.3333;41;944.904;6.3656;36;0;
1579375684;18/01/2020 19:28:04;33.3889;38.3333;41;944.87;4.24374;69;0;
1579375744;18/01/2020 19:29:04;33.3333;38.3333;41;944.836;7.42654;74;0;
1579375804;18/01/2020 19:30:04;33.3333;38.3333;41;944.938;4.24374;355;0;
1579375864;18/01/2020 19:31:04;33.3333;38.3333;41;944.938;3.1828;344;0;
1579375924;18/01/2020 19:32:04;33.3333;38.3333;41;944.938;4.24374;121;0;
1579375984;18/01/2020 19:33:04;33.2778;38.3333;41;944.904;4.24374;59;0;
1579376044;18/01/2020 19:34:04;33.1667;38.3333;41;945.006;5.30467;44;0;
1579376104;18/01/2020 19:35:04;33.1111;38.3333;41;944.87;2.12187;13;0;
1579376164;18/01/2020 19:36:04;33.0556;38.3333;42;944.938;3.1828;281;0;
1579376225;18/01/2020 19:37:05;33.0556;38.3333;42;944.904;4.24374;116;0;
1579376285;18/01/2020 19:38:05;33;38.3333;42;944.87;1.06093;96;0;
1579376345;18/01/2020 19:39:05;33.0556;38.3333;42;944.802;4.24374;338;0;
1579376405;18/01/2020 19:40:05;33.1111;38.3333;41;944.802;1.06093;355;0;
1579376465;18/01/2020 19:41:05;33.1667;38.3333;41;944.836;4.24374;69;0;
1579376525;18/01/2020 19:42:05;33.2222;37.7778;41;944.938;2.12187;59;0;
1579376585;18/01/2020 19:43:05;33.1667;37.7778;41;944.87;1.06093;44;0;
1579376645;18/01/2020 19:44:05;33.1111;37.7778;41;944.802;2.12187;336;0;
1579376705;18/01/2020 19:45:05;33.1111;37.7778;41;944.87;2.12187;333;0;
1579376765;18/01/2020 19:46:05;33.0556;37.7778;41;945.006;3.1828;331;0;
1579376825;18/01/2020 19:47:05;33.0556;37.7778;41;944.87;2.12187;319;0;
1579376886;18/01/2020 19:48:06;33;37.7778;41;944.938;3.1828;338;0;
1579376946;18/01/2020 19:49:06;33;37.7778;41;944.87;6.3656;314;0;
