TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1643476041;29/01/2022 17:07:21;15,49;12,9;30,21;944,34;6,45;127;0;
1643476101;29/01/2022 17:08:21;15,39;12,9;30,21;944,36;4,72;121;0;
1643476161;29/01/2022 17:09:21;15,34;12,9;30,21;944,35;7,54;117;0;
1643476221;29/01/2022 17:10:21;15,41;12,9;30,23;944,37;7,52;90;0;
1643476281;29/01/2022 17:11:21;15,48;12,9;30,13;944,38;10,55;145;0;
1643476341;29/01/2022 17:12:21;15,42;12,9;30,21;944,38;8,45;133;0;
1643476401;29/01/2022 17:13:21;15,43;12,9;30,09;944,43;6,16;109;0;
1643476461;29/01/2022 17:14:21;15,38;12,9;30,23;944,43;10,77;108;0;
1643476521;29/01/2022 17:15:21;15,42;12,9;30,06;944,45;12,81;128;0;
1643476581;29/01/2022 17:16:21;15,42;12,9;30,16;944,44;9,72;113;0;
1643476641;29/01/2022 17:17:21;15,41;12,9;30,13;944,44;4,24;112;0;
1643476701;29/01/2022 17:18:21;15,41;12,9;30,13;944,42;3,96;104;0;
1643476761;29/01/2022 17:19:21;15,48;12,9;30,14;944,41;2,84;118;0;
1643476821;29/01/2022 17:20:21;15,46;12,9;29,87;944,4;5,5;101;0;
1643476881;29/01/2022 17:21:21;15,53;12,9;29,94;944,37;7,5;114;0;
1643476941;29/01/2022 17:22:21;15,56;12,8;29,9;944,39;3,98;122;0;
1643477001;29/01/2022 17:23:21;15,44;12,8;29,87;944,39;10,76;132;0;
1643477061;29/01/2022 17:24:21;15,39;12,8;29,83;944,39;9,04;111;0;
1643477121;29/01/2022 17:25:21;15,41;12,8;29,88;944,39;0;115;0;
1643477181;29/01/2022 17:26:21;15,48;12,8;29,78;944,4;3,35;103;0;
1643477241;29/01/2022 17:27:21;15,45;12,8;29,71;944,4;11,93;141;0;
1643477301;29/01/2022 17:28:21;15,37;12,8;29,87;944,39;4,4;118;0;
1643477361;29/01/2022 17:29:21;15,34;12,8;29,87;944,41;6,59;126;0;
1643477421;29/01/2022 17:30:21;15,33;12,8;29,83;944,4;5,14;87;0;
1643477481;29/01/2022 17:31:21;15,32;12,8;29,92;944,39;4,84;86;0;
1643477541;29/01/2022 17:32:21;15,44;12,8;29,82;944,39;1,19;85;0;
1643477601;29/01/2022 17:33:21;15,46;12,8;29,72;944,38;10,06;114;0;
1643477661;29/01/2022 17:34:21;15,38;12,8;29,67;944,38;4,1;119;0;
1643477721;29/01/2022 17:35:21;15,32;12,8;29,72;944,36;6,62;105;0;
1643477781;29/01/2022 17:36:21;15,35;12,8;29,71;944,38;9,41;93;0;
1643477841;29/01/2022 17:37:21;15,34;12,8;29,67;944,4;11,01;104;0;
1643477901;29/01/2022 17:38:21;15,27;12,8;29,71;944,41;16,58;108;0;
1643477961;29/01/2022 17:39:21;15,13;12,7;29,64;944,42;20,98;103;0;
1643478021;29/01/2022 17:40:21;15;12,7;29,7;944,41;13,97;106;0;
1643478081;29/01/2022 17:41:21;14,93;12,7;29,83;944,38;4,77;119;0;
1643478141;29/01/2022 17:42:21;14,94;12,7;29,83;944,4;15,32;125;0;
1643478201;29/01/2022 17:43:21;14,87;12,7;29,84;944,42;18,69;103;0;
1643478261;29/01/2022 17:44:21;14,75;12,7;29,92;944,42;14,56;97;0;
1643478321;29/01/2022 17:45:21;14,71;12,7;30,13;944,42;1,3;101;0;
1643478381;29/01/2022 17:46:21;14,76;12,6;30,1;944,45;9,33;117;0;
1643478442;29/01/2022 17:47:22;14,7;12,6;30,16;944,45;17,29;89;0;
1643478502;29/01/2022 17:48:22;14,64;12,6;30,18;944,46;9,53;127;0;
1643478562;29/01/2022 17:49:22;14,63;12,6;30,32;944,45;17,04;107;0;
1643478622;29/01/2022 17:50:22;14,66;12,6;30,24;944,49;7,28;100;0;
1643478682;29/01/2022 17:51:22;14,64;12,6;30,25;944,5;5,09;94;0;
1643478742;29/01/2022 17:52:22;14,56;12,6;30,28;944,49;9,18;74;0;
1643478802;29/01/2022 17:53:22;14,59;12,6;30,32;944,5;8,26;111;0;
